Cross_Entropy_train,Cross_Entropy_val,Accuracy_train,Accuracy_val
0.029241006611038557,0.33477024882352757,0.9962406015037594,0.8833333333333333
0.03685064885851495,0.2704996820088127,0.9962406015037594,0.925
0.04144829827350634,0.3648300580089805,0.993734335839599,0.8833333333333333
0.06602027023372761,0.3374821778470505,0.9862155388471178,0.875
0.05677266004979292,0.32663584767651627,0.9912280701754386,0.8958333333333334
0.06702642918211049,0.4009318830127692,0.9880952380952381,0.8666666666666667
0.03569765601602277,0.21366161581760632,0.993734335839599,0.95
0.09097107371095367,0.33378684195631647,0.9805764411027569,0.8833333333333333
0.032466104965191846,0.3656821530438416,0.9931077694235589,0.9083333333333333
0.0212836137670364,0.28098289701077495,0.9974937343358395,0.9041666666666667
0.026889938910148646,0.3341915097610884,0.9962406015037594,0.9
0.05524131664113288,0.3331232004851093,0.9899749373433584,0.9041666666666667
0.036131767937589494,0.2869915475221205,0.9931077694235589,0.9083333333333333
0.03114584480692456,0.2929446805597157,0.9943609022556391,0.8916666666666667
0.04102759919561165,0.3847162360254212,0.9962406015037594,0.8708333333333333
0.02482960797727659,0.4144394266274806,0.9968671679197995,0.8833333333333333
0.02394807726335315,0.40567396647077963,0.9949874686716792,0.8708333333333333
0.026337186812673833,0.3558690529174783,0.9949874686716792,0.8875
0.048422509195622014,0.39245487601462326,0.9931077694235589,0.8708333333333333
0.03394006678170166,0.38758216955169095,0.9943609022556391,0.8875
0.03974662594075818,0.3162936856431164,0.9906015037593985,0.9041666666666667
0.05396311906727882,0.3131458404627968,0.9887218045112782,0.9291666666666667
0.057194700233216246,0.37032953930017054,0.9912280701754386,0.9
0.09254493117355435,0.4180489541098723,0.9718045112781954,0.8541666666666666
0.055202884239780384,0.4033569208945361,0.9880952380952381,0.8791666666666667
0.05155608775481838,0.4498076838334479,0.9868421052631579,0.8625
0.03889662630116479,0.31012897716364024,0.9918546365914787,0.9166666666666666
0.050706469111335944,0.39372622414812214,0.9924812030075187,0.8625
0.030723169849659,0.37396654600452167,0.9956140350877193,0.875
0.08652424393415033,0.3429862020246219,0.9862155388471178,0.8791666666666667
0.04526867481564252,0.38141709063687207,0.9899749373433584,0.8875
0.07496762957695562,0.43794728244732445,0.9805764411027569,0.8291666666666667
0.035624904075816095,0.29536055622132457,0.9931077694235589,0.9
0.04740296319197253,0.4025863428313338,0.9843358395989975,0.8541666666666666
0.03317509737811141,0.30636353873502836,0.9949874686716792,0.9125
0.06918692646942695,0.28637727873483526,0.981203007518797,0.9125
0.02835788152596454,0.3298556367881853,0.9962406015037594,0.9041666666666667
0.05749595977278732,0.2961122854980204,0.9862155388471178,0.8791666666666667
0.03049976674135126,0.39479042276731585,0.9968671679197995,0.8666666666666667
0.03812530874906348,0.4599215671699009,0.9956140350877193,0.8708333333333333
0.032814413670542796,0.3860291059880789,0.9949874686716792,0.8833333333333333
